$Date,$Time,Pc_OIT_24Real[000],Pc_OIT_24Real[004],DeltaTPid.Pid_SP,Pc_OIT_24Real[001]Pid.Pid_SP,Pc_OIT_24Real[001],FT1501.Value
07/01/16,11:49:00,1.339157,77.68169,16.92865,220,218.8217,3039.576
07/01/16,11:50:00,1.272858,77.56841,17.15077,220,220,3019.987
07/01/16,11:51:00,1.30722,77.56197,17.01256,220,220.1492,3029.199
07/01/16,11:52:00,1.347884,77.57361,16.78109,220,220,3028.033
07/01/16,11:53:00,1.255047,77.54151,16.40772,220,220.8949,3055.667
07/01/16,11:54:00,1.285037,77.673,16.66064,220,220.5966,3011.942
07/01/16,11:55:00,1.306166,77.81997,16.81329,220,221.775,3024.534
07/01/16,11:56:00,1.29967,77.87379,16.71897,220,221.1783,3015.323
07/01/16,11:57:00,1.333366,77.90301,17.22305,220,222.0733,3036.078
07/01/16,11:58:00,1.308434,77.77979,16.68563,220,221.9241,3016.489
07/01/16,11:59:00,1.323691,77.8086,17.05894,220,222.8041,3043.074
07/01/16,12:00:00,1.318472,77.88307,16.77121,220,222.2075,3017.655
07/01/16,12:01:00,1.27656,77.90665,16.89893,220,221.9241,3017.655
07/01/16,12:02:00,1.244667,78.00409,17.35171,220,222.8041,3029.199
07/01/16,12:03:00,1.29432,78.19283,17.06885,220,223.6842,3014.274
07/01/16,12:04:00,1.353305,78.30488,16.36803,220,222.2075,3019.987
07/01/16,12:05:00,1.320264,78.11231,16.42826,220,222.655,3028.033
07/01/16,12:06:00,1.195112,78.01961,17.0778,220,222.3567,3036.078
07/01/16,12:07:00,1.307528,78.22006,16.53111,220,222.5058,3013.108
07/01/16,12:08:00,1.276827,78.315,16.55129,220,222.2075,3006.112
07/01/16,12:09:00,1.233137,78.47405,16.81023,220,222.655,3016.489
07/01/16,12:10:00,1.2602,78.77979,16.31835,220,222.3567,3034.912
07/01/16,12:11:00,1.2633,79.01968,16.58922,220,221.9241,3037.244
07/01/16,12:12:00,1.279361,79.1612,16.9091,220,221.775,3046.456
07/01/16,12:13:00,1.268355,79.06161,15.79534,220,221.0292,3040.742
07/01/16,12:14:00,1.285912,79.18242,15.58793,220,221.0292,3024.534
07/01/16,12:15:00,1.276181,79.08469,16.55078,220,221.1783,3039.576
07/01/16,12:16:00,1.228142,79.1342,17.32188,220,221.1783,3034.912
07/01/16,12:17:00,1.226007,79.45585,16.93426,220,220.2983,3015.323
07/01/16,12:18:00,1.322147,79.72881,16.45605,220,220.4475,3028.033
07/01/16,12:19:00,1.261346,79.55182,17.53505,220,218.9708,3032.697
07/01/16,12:20:00,1.320174,79.52551,17.29664,220,218.8217,3019.987
07/01/16,12:21:00,1.311842,79.175,16.45596,220,218.8217,3033.863
07/01/16,12:22:00,1.320028,78.9437,15.71694,220,218.3891,3028.033
07/01/16,12:23:00,1.292622,78.81811,16.92428,220,218.5233,3013.108
07/01/16,12:24:00,1.218661,78.84975,17.42752,220,217.0616,3051.12
07/01/16,12:25:00,1.25078,79.14088,17.51956,220,217.345,3039.576
07/01/16,12:26:00,1.426538,79.23824,16.96501,220,216.7633,3046.456
07/01/16,12:27:00,1.293394,78.85931,16.62789,220,216.9124,3013.108
07/01/16,12:28:00,1.360376,78.52869,15.7313,220,215.5849,3030.365
